top - 18:47:36 up 18 min,  1 user,  load average: 2.02, 1.01, 0.54
Tasks: 258 total,   5 running, 253 sleeping,   0 stopped,   0 zombie
%Cpu(s): 42.1 us, 27.6 sy,  0.0 ni, 30.3 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :   3883.9 total,   2277.2 free,   1033.0 used,    813.8 buff/cache     
MiB Swap:   1024.0 total,   1024.0 free,      0.0 used.   2850.9 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
    991 kali      20   0    7224   3288   3160 S   0.0   0.1   0:00.07 mpris-p+
   1012 kali      20   0  347964  34820  18052 S   0.0   0.9   0:01.55 xfce4-s+
   1080 kali      20   0  381164   7168   6656 S   0.0   0.2   0:00.06 at-spi-+
   1087 kali      20   0    8724   4556   4172 S   0.0   0.1   0:00.26 dbus-da+
   1098 kali      20   0  168744   7396   6756 S   0.0   0.2   0:00.91 at-spi2+
   1105 kali      20   0   10928   1952    728 S   0.0   0.0   0:00.00 ssh-age+
   1111 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   1116 kali      20   0  155452   3556   3300 S   0.0   0.1   0:00.07 gpg-age+
   1119 kali      20   0 1477804 125476  83144 S   0.0   3.2   0:19.53 xfwm4
   1123 kali      20   0  312636   7852   7084 S   0.0   0.2   0:00.14 gvfsd
   1129 kali      20   0  398368   6904   6264 S   0.0   0.2   0:00.04 gvfsd-f+
   1153 kali      20   0  275388  26668  19100 S   0.0   0.7   0:01.14 xfsetti+
   1159 kali      20   0  165228   5660   5276 S   0.0   0.1   0:00.03 dconf-s+
   1160 kali      20   0  507316  44308  33052 S   0.0   1.1   0:03.22 xfce4-p+
   1167 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   1169 kali      20   0  505784  45644  34748 S   0.0   1.1   0:04.17 Thunar
   1175 kali      20   0  499260  90708  45988 S   0.0   2.3   0:10.25 xfdeskt+
   1176 kali      20   0  428600  42752  33104 S   0.0   1.1   0:01.02 wrapper+
   1184 kali      20   0  346024  24768  18260 S   0.0   0.6   0:00.46 wrapper+
   1185 kali      20   0  274016  28368  21288 S   0.0   0.7   0:07.68 wrapper+
   1186 kali      20   0  359416  39676  31488 S   0.0   1.0   0:00.57 wrapper+
   1187 kali      20   0  425616  38012  30204 S   0.0   1.0   0:00.55 wrapper+
   1188 kali      20   0  286816  38728  30892 S   0.0   1.0   0:01.19 wrapper+
   1190 kali      20   0  425848  38128  30332 S   0.0   1.0   0:00.70 wrapper+
   1218 root      20   0  318820  10344   8424 S   0.0   0.3   0:00.54 upowerd
   1221 kali      20   0  426928  39400  31332 S   0.0   1.0   0:00.98 xfce4-n+
   1251 kali      20   0  209464  34180  18264 S   0.0   0.9   0:00.82 xfce4-s+
   1254 kali      20   0  427852  38540  30592 S   0.0   1.0   0:00.94 polkit-+
   1267 kali      20   0  529168  58552  33360 S   0.0   1.5   0:00.91 blueman+
   1269 kali      20   0  336552  23484  16980 S   0.0   0.6   0:00.42 xfce4-p+
   1274 kali      20   0   64928  40072  21808 S   0.0   1.0   0:00.50 applet.+
   1276 kali      20   0  382248   6360   5976 S   0.0   0.2   0:00.01 agent
   1279 kali      20   0  922476   8524   7372 S   0.0   0.2   0:00.20 xiccd
   1281 kali      20   0   12424   2036   1764 S   0.0   0.1   0:00.35 xcape
   1285 kali      20   0  587084  43620  34944 S   0.0   1.1   0:00.40 nm-appl+
   1316 colord    20   0  315892  14136   9656 S   0.0   0.4   0:00.44 colord
   1397 kali      20   0  391004  10860   9708 S   0.0   0.3   0:00.11 gvfs-ud+
   1419 root      20   0  404284  13700  11780 S   0.0   0.3   0:00.14 udisksd
   1435 kali      20   0  390016   8552   7528 S   0.0   0.2   0:00.16 gvfs-af+
   1441 kali      20   0  307928   6832   6320 S   0.0   0.2   0:00.07 gvfs-mt+
   1449 kali      20   0  307824   6236   5724 S   0.0   0.2   0:00.05 gvfs-go+
   1458 kali      20   0  308880   6720   6208 S   0.0   0.2   0:00.06 gvfs-gp+
   1475 kali      20   0  378700  18064  16272 S   0.0   0.5   0:00.08 obexd
   1476 kali      20   0  168876   6448   5936 S   0.0   0.2   0:00.02 gvfsd-m+
   1480 kali      20   0  534208   8360   7592 S   0.0   0.2   0:00.07 gvfsd-t+
   1560 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   1820 root      20   0    6592   2228   1964 S   0.0   0.1   0:00.00 dbus-la+
   1821 root      20   0    8480   2660   2232 S   0.0   0.1   0:00.03 dbus-da+
   1823 root      20   0  481200  17752  14812 S   0.0   0.4   0:00.12 xdg-des+
   1830 root      20   0  308740   6400   5888 S   0.0   0.2   0:00.01 xdg-per+
   1836 root      20   0  538668   6692   6180 S   0.0   0.2   0:00.02 xdg-doc+
   1844 root      20   0    2584   1304   1304 S   0.0   0.0   0:00.62 fusermo+
   1849 root      20   0  406480  18796  16236 S   0.0   0.5   0:00.56 xdg-des+
   1856 root      20   0  312636   7688   7048 S   0.0   0.2   0:00.00 gvfsd
   1862 root      20   0  398368   6792   6280 S   0.0   0.2   0:00.02 gvfsd-f+
   2431 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   4892 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
   6577 kali      20   0  556900  19692  16236 S   0.0   0.5   0:00.18 xdg-des+
   6589 kali      20   0  308740   6616   6104 S   0.0   0.2   0:00.03 xdg-per+
   6596 kali      20   0  539708   6800   6288 S   0.0   0.2   0:00.08 xdg-doc+
   6608 root      20   0    2584   1816   1816 S   0.0   0.0   0:00.63 fusermo+
   6614 kali      20   0  406548  18972  16412 S   0.0   0.5   0:00.21 xdg-des+
   7108 root      20   0       0      0      0 I   0.0   0.0   0:00.25 kworker+
   8013 kali      20   0  307728   6068   5684 S   0.0   0.2   0:00.13 xfconfd
   8021 kali      39  19  715812  27796  19848 S   0.0   0.7   0:00.58 tumblerd
   8092 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   8329 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   9112 root      20   0       0      0      0 I   0.0   0.0   0:00.26 kworker+
   9876 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
   9877 root      20   0       0      0      0 I   0.0   0.0   0:00.20 kworker+
   9878 root      20   0       0      0      0 I   0.0   0.0   0:00.13 kworker+
   9948 root      20   0       0      0      0 I   0.0   0.0   0:00.12 kworker+
  10136 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
  10181 systemd+  20   0   21240  11188   9776 S   0.0   0.3   0:00.42 systemd+
  10205 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
  10246 root      20   0       0      0      0 I   0.0   0.0   0:00.08 kworker+
  10459 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
  10751 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
  10814 kali      20   0  729452  66444  50076 S   0.0   1.7   0:00.98 qtermin+
  10829 kali      20   0   10320   6724   4508 S   0.0   0.2   0:00.76 zsh
  11233 root      20   0   22224   8200   6920 S   0.0   0.2   0:00.02 sudo
  11235 root      20   0   22224   2740   1400 S   0.0   0.1   0:00.00 sudo
  11236 root      20   0  167156  62704  21204 S   0.0   1.6   0:06.97 python3
  11304 root      20   0    7088   3432   3176 S   0.0   0.1   0:00.02 kernel_+
